,CO2_TIF:CCB_TIF_FT3020.PosSt,CO2_TIF:CCM_TIF_EHSpare01.PosSt,CO2_TIF:CCM_TIF_EHSpare02.PosSt,CO2_TIF:CCB_TIF_PT7024.PosSt,CO2_TIF:CCB_TIF_TT7024.PosSt,CO2_TIF:CCB_TIF_PT7450.PosSt,CO2_TIF:CCB_TIF_FT7524.PosSt,CO2_TIF:CCB_TIF_DT7424.PosSt,CO2_TIF:CCB_TIF_TT7424.PosSt,CO2_TIF:CCB_TIF_PT7056.PosSt,CO2_TIF:CCB_TIF_TT7056.PosSt,
,FT3020.PosSt,EHDL1.PosSt,EHDL2.PosSt,PT7024.PosSt,TT7024.PosSt,PT7450.PosSt,FT7524.PosSt,DT7424.PosSt,TT7424.PosSt,PT7056.PosSt,TT7056.PosSt,
2015/04/17 13:30:21.500,,,,,,,,,,,-7.1999969482422,
2015/04/17 13:30:32.690,,,,,,,,,,28.827840805054,,
2015/04/17 13:30:48.520,,,,,-7.3999938964844,,,,,,,
2015/04/17 13:31:08.410,,,,,-7,,,,,,,
2015/04/17 13:31:25.570,,,,,,,,,,,-7.1999969482422,
2015/04/17 13:31:40.680,,,,,,28.827840805054,,,,,,
2015/04/17 13:32:33.660,,,,,,,,,4.4444465637207,,,
2015/04/17 13:32:35.260,,,,,,,,,,,-7.3999938964844,
2015/04/17 13:32:47.080,,,,,-6.8000030517578,,,,,,,
2015/04/17 13:32:49.670,,,,28.864469528198,,28.754579544067,,100.5860824585,,28.827840805054,,
2015/04/17 13:32:50.290,,,,,-6.5999908447266,,,,,,,
2015/04/17 13:32:51.200,,,,,-6.8000030517578,,,,,,,
2015/04/17 13:33:08.020,,,,,-6.5999908447266,,,,,,,
2015/04/17 13:34:06.890,,,,,-6.8000030517578,,,,,,,
2015/04/17 13:34:08.250,,,,,-6.5999908447266,,,,,,,
2015/04/17 13:34:24.440,,,,,-6.8000030517578,,,,,,,
2015/04/17 13:34:25.800,,,,,-6.5999908447266,,,,,,,
2015/04/17 13:35:26.940,,,,,-6.3999938964844,,,,,,,
2015/04/17 13:35:55.190,,,,,,,,,,,-7,
2015/04/17 13:36:47.680,,,,,,,,,,28.937730789185,,
2015/04/17 13:36:56.720,,,,,,,,,,,-7,
2015/04/17 13:37:39.660,,,,,,,,,5.1086692810059,,,
2015/04/17 13:37:47.670,,,,,,28.937730789185,,,,,,
2015/04/17 13:38:00.780,,,,,,,,,,,-7.1999969482422,
2015/04/17 13:38:35.460,,,,,-6.1999969482422,,,,,,,
2015/04/17 13:38:59.690,,,,29.047620773315,,,,,,,,
2015/04/17 13:39:36.490,,,,,-6.1999969482422,,,,,,,
2015/04/17 13:39:47.670,,,,,,,,,,29.08424949646,,
2015/04/17 13:40:29.300,,,,,,29.08424949646,,,,,,
2015/04/17 13:40:37.500,,,,,-6.3999938964844,,,,,,,
2015/04/17 13:42:47.060,,,,,-6.1999969482422,,,,,,-7,
2015/04/17 13:42:47.690,,,,29.08424949646,,29.08424949646,,100.5860824585,,29.08424949646,,
2015/04/17 13:43:48.870,,,,,-6,,,,,,,
2015/04/17 13:43:58.800,,,,,,,,,,,-6.8000030517578,
2015/04/17 13:44:19.670,,,,,,,,,,29.194139480591,,
2015/04/17 13:44:47.680,,,,,,,,,5.753360748291,,,
2015/04/17 13:45:12.610,,,,,-5.8000030517578,,,,,,,
2015/04/17 13:45:35.670,,,,,-5.5999908447266,,,,,,,
2015/04/17 13:46:23.530,,,,,-5.1999969482422,,,,,,,
2015/04/17 13:46:40.680,,,,,,29.194139480591,,,,,,
2015/04/17 13:47:33.790,,,,,-4.8000030517578,,,,,,,
2015/04/17 13:48:11.980,,,,,-4.5999908447266,,,,,,,
2015/04/17 13:48:26.680,,,,,,,,,,,-6.5,
2015/04/17 13:48:37.700,,,,,,29.08424949646,,,,,,
2015/04/17 13:48:41.680,,,,29.047620773315,,,,,,29.08424949646,,
2015/04/17 13:48:51.670,,,,,,,,,,,-7,
2015/04/17 13:48:55.670,,,,,-4.8999938964844,,,,,,,
2015/04/17 13:48:59.670,,,,,-5.3000030517578,,,,,,,
2015/04/17 13:49:07.670,,,,,-5.6999969482422,,,,,,,
2015/04/17 13:49:19.690,,,,,-6.1999969482422,,,,,,,
2015/04/17 13:49:31.680,7.81440782547,,,,,,,,,,,
2015/04/17 13:49:35.680,5.0671548843384,,,,,,,,,,,
2015/04/17 13:49:38.110,,,,,,28.937730789185,,,,,,
2015/04/17 13:49:39.690,23.382173538208,,,,-6.5,,,,,,,
2015/04/17 13:49:43.690,49.02320098877,,,28.974359512329,,,,,,28.937730789185,,
2015/04/17 13:49:47.660,55.189254760742,,,,,,,,,,,
2015/04/17 13:49:51.680,56.471305847168,,,,-6.8999938964844,,,,,,,
2015/04/17 13:49:52.280,,,,,,28.717950820923,,,,,,
2015/04/17 13:49:55.670,57.936508178711,,,28.717950820923,,,,,,28.644689559937,,
2015/04/17 13:49:59.670,57.722831726074,,,,-6.5999908447266,,,,,,,
2015/04/17 13:50:00.680,,,,,,,,,6.3199043273926,,,
2015/04/17 13:50:03.680,55.982906341553,,,,-7.1999969482422,,,,,,-7.3999938964844,
2015/04/17 13:50:07.660,55.067153930664,,,,,,,,,,,
2015/04/17 13:50:11.700,54.700855255127,,,,,,,,,28.901100158691,,
2015/04/17 13:50:19.660,,,,,,29.010990142822,,,,,,
2015/04/17 13:50:21.940,,,,,,28.754579544067,,,,,,
2015/04/17 13:50:23.680,,,,29.08424949646,,,,,,,,
2015/04/17 13:50:23.780,,,,,,,,,5.6556777954102,,,
2015/04/17 13:50:24.230,,,,,,29.010990142822,,,,,,
2015/04/17 13:50:27.660,,,,,-7.5,,,,,,,
2015/04/17 13:50:35.700,,,,,-7.1999969482422,,,,,,,
2015/04/17 13:50:39.670,55.128204345703,,,,,,,,,,,
2015/04/17 13:50:43.670,55.34188079834,,,,-7.5,,,,,,,
2015/04/17 13:50:46.690,,,,,,,,,4.9328460693359,,,
2015/04/17 13:50:47.670,,,,,,,,,,,-6.8000030517578,
2015/04/17 13:50:52.680,,,,,-7.1999969482422,,,,,,-7.3000030517578,
2015/04/17 13:50:56.680,,,,,,,,,,29.194139480591,-6.8999938964844,
2015/04/17 13:51:05.670,54.914531707764,,,,-7.8000030517578,,,,,,,
2015/04/17 13:51:09.670,,,,,-7.5,,,,,,,
2015/04/17 13:51:13.690,,,,29.340660095215,-7.8999938964844,,,,,,,
2015/04/17 13:51:14.680,,,,,,29.267400741577,,,,,,
2015/04/17 13:51:17.660,,,,,,,,,,,-7.3000030517578,
2015/04/17 13:51:21.670,,,,,,,,,,29.450550079346,-6.8999938964844,
2015/04/17 13:51:25.690,55.128204345703,,,,,,,,,,,
2015/04/17 13:51:30.670,,,,,,,,,,,-7.3000030517578,
2015/04/17 13:51:34.660,54.914531707764,,,,-8.3000030517578,,,,,,,
2015/04/17 13:51:43.680,,,,,,29.487180709839,,,,,,
2015/04/17 13:51:47.650,,,,29.633701324463,-8.6999969482422,,,,,,,
2015/04/17 13:51:51.690,55.128204345703,,,,,,,,,,,
2015/04/17 13:51:55.660,54.395603179932,,,,,,,,,,,
2015/04/17 13:51:59.670,,,,,-9.3000030517578,,,,,,,
2015/04/17 13:52:03.650,54.761905670166,,,,,29.743591308594,,,,29.743591308594,,
2015/04/17 13:52:07.660,55.189254760742,,,,,,,,,,,
2015/04/17 13:52:11.650,,,,,-10,,,,,,,
2015/04/17 13:52:15.690,54.700855255127,,,,,,,,,,,
2015/04/17 13:52:19.670,54.365077972412,,,,,,,,,,-7.8999938964844,
2015/04/17 13:52:23.670,56.623931884766,,,29.413921356201,-10.399993896484,29.450550079346,,,,29.487180709839,,
2015/04/17 13:52:27.650,57.692306518555,,,,,,,,,,,
2015/04/17 13:52:31.670,,,,,-10.699996948242,,,,,29.267400741577,,
2015/04/17 13:52:35.660,,,,,,29.120880126953,,,,,,
2015/04/17 13:52:43.660,57.081806182861,,,29.08424949646,-11,,,,,,-8.5999908447266,
2015/04/17 13:52:47.660,,,,,-11.399993896484,28.827840805054,,100.5860824585,5.694751739502,28.937730789185,,
2015/04/17 13:52:51.660,57.326007843018,,,,,,,,,,,
2015/04/17 13:52:55.650,,,,28.864469528198,,,,,,,,
2015/04/17 13:52:59.660,51.892551422119,,,30.366302490234,-11.899993896484,29.194139480591,,,6.8083038330078,,,
2015/04/17 13:53:03.680,40.323566436768,,,,-11.5,28.717950820923,16.786178588867,,4.3858375549316,,,
2015/04/17 13:53:07.680,51.190475463867,,,,-11.800003051758,28.461540222168,12.830769538879,,-2.9401702880859,28.571430206299,,
2015/04/17 13:53:11.680,57.539684295654,,,,-11.5,,7.6778512001038,,-4.1709403991699,,-8.0999908447266,
2015/04/17 13:53:15.690,58.394382476807,,,,-11.199996948242,,9.3108177185059,,,,,
2015/04/17 13:53:19.680,56.715507507324,,,30.146520614624,,,34.71252822876,310.98901367188,-6.00732421875,28.351650238037,,
2015/04/17 13:53:23.680,55.677654266357,,,,,,49.69953918457,480.95239257813,-7.0231971740723,,,
2015/04/17 13:53:27.690,55.280830383301,,,,-10.800003051758,28.16849899292,55.469356536865,561.24548339844,,,,
2015/04/17 13:53:31.680,,,,29.890111923218,-10.399993896484,,57.283763885498,601.68499755859,,28.095239639282,,
2015/04/17 13:53:35.670,55.067153930664,,,,,,59.025596618652,645.05499267578,,,,
2015/04/17 13:53:39.680,,,,,,,60.295680999756,683.15020751953,,,,
2015/04/17 13:53:43.680,,,,,,27.838829040527,60.912578582764,711.8681640625,,27.838829040527,,
2015/04/17 13:53:47.670,55.280830383301,,,,,,,732.38098144531,-7.765567779541,,,
2015/04/17 13:53:51.690,,,,29.59707069397,,,,759.9267578125,,,,
2015/04/17 13:53:55.670,,,,,,,59.932800292969,783.36999511719,,,,
2015/04/17 13:53:59.700,55.677654266357,,,,,,60.549697875977,800.95239257813,,,-8.6999969482422,
2015/04/17 13:54:03.650,55.891330718994,,,,,,,816.77661132813,,27.545787811279,,
2015/04/17 13:54:07.670,,,,,,27.362638473511,60.005374908447,837.28942871094,,,,
2015/04/17 13:54:11.660,,,,29.267400741577,-10.899993896484,,59.497341156006,854.28576660156,,,,
2015/04/17 13:54:15.660,,,,,,,58.84415435791,874.79858398438,-8.4297904968262,,,
2015/04/17 13:54:19.670,,,,,,,57.936950683594,899.41394042969,,,,
2015/04/17 13:54:23.680,,,,,,,,914.06597900391,,,,
2015/04/17 13:54:27.660,,,,29.047620773315,,,57.138610839844,926.95971679688,,27.216117858887,,
2015/04/17 13:54:31.670,,,,,,,,941.61175537109,,,,
2015/04/17 13:54:35.680,,,,,-11.5,27.069599151611,,950.98907470703,,,,
2015/04/17 13:54:39.690,,,,,,,56.41284942627,959.19415283203,,26.996337890625,,
2015/04/17 13:54:43.660,,,,,,,,966.22717285156,-9.2698402404785,,-9.1999969482422,
2015/04/17 13:54:47.660,,,,28.717950820923,,,,969.74365234375,,,,
2015/04/17 13:54:51.670,,,,,-11.199996948242,,,972.08795166016,,,,
2015/04/17 13:54:55.690,55.677654266357,,,,-11.599990844727,,,975.01837158203,,,-9.6999969482422,
2015/04/17 13:54:59.670,,,,,,26.703298568726,,977.94873046875,,,,
2015/04/17 13:55:03.660,55.433456420898,,,,-11.899993896484,,,980.87915039063,,,,
2015/04/17 13:55:07.680,,,,28.278388977051,,,,,-9.9926719665527,26.630037307739,,
2015/04/17 13:55:11.660,55.128204345703,,,,,,,982.63739013672,,,,
2015/04/17 13:55:15.680,,,,,,,,983.8095703125,,,,
2015/04/17 13:55:19.660,54.914531707764,,,,,,,984.39562988281,,,,
2015/04/17 13:55:23.660,,,,,-12.199996948242,26.263736724854,55.505641937256,985.56781005859,,26.373626708984,,
2015/04/17 13:55:27.660,,,,,,,,986.73999023438,,,-10.199996948242,
2015/04/17 13:55:31.660,,,,28.058609008789,,,,988.49822998047,,,,
2015/04/17 13:55:39.660,,,,,,,,989.67034912109,-10.774114608765,,,
2015/04/17 13:55:47.660,,,,,-12.599990844727,26.007328033447,,990.25646972656,,,,
2015/04/17 13:55:51.680,,,,27.802198410034,,,,991.42858886719,,,,
2015/04/17 13:55:55.670,,,,,-12.800003051758,,,,,26.007328033447,,
2015/04/17 13:55:59.670,,,,,-12.599990844727,,,992.60076904297,,,,
2015/04/17 13:56:07.680,,,,,-13,25.750917434692,,,,,,
2015/04/17 13:56:11.670,,,,,,,,994.35900878906,-11.496946334839,,-10.699996948242,
2015/04/17 13:56:15.690,,,,27.545787811279,,,,,,,,
2015/04/17 13:56:19.660,,,,,,,,995.53118896484,,,,
2015/04/17 13:56:23.670,,,,,-13.399993896484,,,,,,,
2015/04/17 13:56:27.670,,,,,,,,,,25.750917434692,,
2015/04/17 13:56:31.690,,,,,,,,996.11724853516,,,,
2015/04/17 13:56:35.660,,,,,,,,997.28942871094,,,-11.199996948242,
2015/04/17 13:56:39.670,,,,,,25.531137466431,,,,,,
2015/04/17 13:56:43.660,,,,27.326007843018,,,,998.46154785156,,,,
2015/04/17 13:56:47.670,,,,,-13.699996948242,,,,-12.219779968262,,,
2015/04/17 13:56:55.670,,,,,,,,999.63372802734,,25.531137466431,,
2015/04/17 13:56:59.670,,,,27.069599151611,,,,,,,,
2015/04/17 13:57:07.680,,,,,,,,1001.3919677734,,,,
2015/04/17 13:57:11.660,,,,,,,,1000.2198486328,,25.201465606689,,
2015/04/17 13:57:15.660,,,,,-14.099990844727,,,1001.3919677734,,,,
2015/04/17 13:57:19.650,,,,,-14.399993896484,25.201465606689,,,,,,
2015/04/17 13:57:23.660,,,,,,,,1002.5641479492,,,,
2015/04/17 13:57:27.650,54.51770401001,,,,,,56.376560211182,,-13.001220703125,,,
2015/04/17 13:57:31.670,54.975578308105,,,,,,55.832237243652,,,,-11.800003051758,
2015/04/17 13:57:35.660,,,,,,24.90842628479,,,,,,
2015/04/17 13:57:39.670,,,,,,25.164836883545,,1004.3223876953,,,,
2015/04/17 13:57:43.650,54.761905670166,,,26.776557922363,-14.899993896484,,,,,,,
2015/04/17 13:57:47.660,,,,,,24.835165023804,,,,,,
2015/04/17 13:57:51.660,,,,,,25.091575622559,,,,,,
2015/04/17 13:57:55.660,,,,,,,,,,24.981685638428,,
2015/04/17 13:57:59.650,,,,,,,,1005.4945678711,,,,
2015/04/17 13:58:08.690,,,,,-15.199996948242,,,,,,,
2015/04/17 13:58:12.670,,,,,,24.798536300659,,1006.0806274414,,,,
2015/04/17 13:58:16.670,,,,,,,,,-13.782661437988,,,
2015/04/17 13:58:20.690,,,,,,,,1007.2528076172,,,,
2015/04/17 13:58:28.680,,,,,-15.599990844727,,,,,,,
2015/04/17 13:58:32.680,,,,,,,,1008.4249267578,,,,
2015/04/17 13:58:36.680,,,,,-15.199996948242,,,,,,-12.599990844727,
2015/04/17 13:58:45.680,,,,,-15.800003051758,,,1009.0110473633,,,,
2015/04/17 13:58:49.690,,,,26.520147323608,-15.599990844727,,,1010.1831665039,,,,
2015/04/17 13:58:53.680,,,,,,,,,,24.725275039673,,
2015/04/17 13:58:57.670,,,,,-15.899993896484,,,1011.3553466797,-14.466421127319,25.091575622559,,
2015/04/17 13:59:04.770,,300,,,,,,,,,,
2015/04/17 13:59:05.230,,760,,,,,,,,,,
2015/04/17 13:59:05.680,,,,,,,,,,24.652015686035,,
2015/04/17 13:59:08.680,,2500,,,,,,,,,,
2015/04/17 13:59:09.660,,,,,,,,,,25.091575622559,,
2015/04/17 13:59:13.680,,,,,,24.798536300659,,,,24.798536300659,,
2015/04/17 13:59:16.740,,,30,,,,,,,,,
2015/04/17 13:59:16.810,,,90,,,,,,,,,
2015/04/17 13:59:16.880,,,160,,,,,,,,,
2015/04/17 13:59:16.950,,,230,,,,,,,,,
2015/04/17 13:59:17.020,,,300,,,,,,,,,
2015/04/17 13:59:17.090,,,370,,,,,,,,,
2015/04/17 13:59:17.160,,,440,,,,,,,,,
2015/04/17 13:59:17.230,,,510,,,,,,,,,
2015/04/17 13:59:17.300,,,580,,,,,,,,,
2015/04/17 13:59:17.370,,,650,,,,,,,,,
2015/04/17 13:59:17.440,,,720,,,,,,,,,
2015/04/17 13:59:17.500,,,790,,,,,,,,,
2015/04/17 13:59:17.570,,,860,,,,,,,,,
2015/04/17 13:59:17.640,,,920,,,,,,,,,
2015/04/17 13:59:17.690,,,,,,,,1011.94140625,,,,
2015/04/17 13:59:17.720,,,990,,,,,,,,,
2015/04/17 13:59:21.670,54.456653594971,,3000,,-16.199996948242,,58.953018188477,1010.1831665039,,25.164836883545,,
2015/04/17 13:59:25.680,54.242980957031,,,,,,62.073799133301,950.98907470703,-13.31379699707,,,
2015/04/17 13:59:29.690,53.47985458374,,,26.959707260132,,25.164836883545,61.094020843506,667.32604980469,-12.141635894775,,,
2015/04/17 13:59:33.660,52.350425720215,,,,,,55.505641937256,458.09524536133,-11.516483306885,,,
2015/04/17 13:59:37.660,51.64835357666,,,27.25274848938,-16.5,,52.711456298828,363.73626708984,,,-12.699996948242,
2015/04/17 13:59:41.660,,,,,-16.199996948242,25.531137466431,50.171283721924,298.09524536133,,25.531137466431,,
2015/04/17 13:59:45.660,,,,,,,49.191505432129,261.75823974609,-10.774114608765,,,
2015/04/17 13:59:49.680,52.564102172852,,,27.619049072266,-15.899993896484,,,237.14286804199,,,-12.199996948242,
2015/04/17 13:59:53.680,53.296703338623,,,,,,50.062419891357,222.49084472656,,,-11.699996948242,
2015/04/17 13:59:57.690,53.846153259277,,,,,,,209.01098632813,,,,
2015/04/17 14:00:01.660,,,,,,,49.191505432129,196.70330810547,,,-12.199996948242,
2015/04/17 14:00:05.660,,,,,-15,,48.465740203857,186.15383911133,,,,
2015/04/17 14:00:09.670,,,,27.912088394165,-14.699996948242,,47.558536529541,179.12088012695,,,,
2015/04/17 14:00:13.670,,,,,,,47.014213562012,173.26007080078,,,,
2015/04/17 14:00:17.660,54.151405334473,,,,-14.399993896484,25.750917434692,46.288452148438,166.22711181641,,,-11.699996948242,
2015/04/17 14:00:21.670,,,,28.241760253906,,,45.4538230896,163.29670715332,-10.051280975342,,,
2015/04/17 14:00:25.650,54.456653594971,,,,-13.800003051758,,,160.36630249023,,,,
2015/04/17 14:00:29.670,,,,,-13.399993896484,,43.312824249268,154.50549316406,,,,
2015/04/17 14:00:33.670,,,,,,,,151.57508850098,,,,
2015/04/17 14:00:37.670,,,,,-12.899993896484,,42.296752929688,148.64468383789,,25.82417678833,,
2015/04/17 14:00:41.660,,,,,,,,146.8864440918,,,,
2015/04/17 14:00:45.650,,,,,,,,143.9560546875,,,-11.199996948242,
2015/04/17 14:00:49.670,,,,,-12.599990844727,26.007328033447,40.663787841797,142.78388977051,,,,
2015/04/17 14:00:50.710,,2690,,,,,,,,,,
2015/04/17 14:00:53.660,,,,28.534799575806,,,39.139686584473,,,,,
2015/04/17 14:00:54.670,,4000,,,,,,,,,,
2015/04/17 14:00:57.660,,,,,,,40.010601043701,142.19779968262,,,,
2015/04/17 14:01:01.660,54.212455749512,,,,-12,,37.688159942627,136.92308044434,,,,
2015/04/17 14:01:05.650,,,,28.791210174561,,,33.805324554443,132.23443603516,,,,
2015/04/17 14:01:09.660,54.456653594971,,,,,,32.099781036377,126.95970916748,-9.3284473419189,,,
2015/04/17 14:01:13.650,,,,,-11.699996948242,,30.285371780396,124.02930450439,,,,
2015/04/17 14:01:17.650,,,,,,,29.160440444946,122.2710647583,,,,
2015/04/17 14:01:21.660,,,,,,,,121.09889984131,,,,
2015/04/17 14:01:25.660,,,,,,26.33699798584,28.362100601196,119.34066009521,,,,
2015/04/17 14:01:29.670,,,,,-11.399993896484,,,,,26.190477371216,,
2015/04/17 14:01:33.660,54.090354919434,,,29.157510757446,-11.099990844727,,,116.41025543213,,,,
2015/04/17 14:01:37.650,,,,,,,,117.58242034912,,,,
